full_name,player_id,game_id,team_id,line,p_over,price_over,p_over_mkt,edge_over,fair_over,game_date
A. Ovechkin,8471214,2025020402,15,0.5,0.4443631225025405,,,,+125,2025-11-30
N. Foligno,8473422,2025020403,16,0.5,0.4058812302261357,,,,+146,2025-11-30
C. Giroux,8473512,2025020405,9,0.5,0.3956130793388763,,,,+153,2025-11-30
J. Staal,8473533,2025020404,12,0.5,0.3367177884546124,,,,+197,2025-11-30
A. Killorn,8473986,2025020403,24,0.5,0.4405008482809422,,,,+127,2025-11-30
Jamie Benn,8473994,2025020405,25,0.5,0.5605076618775191,,,,-128,2025-11-30
D. Perron,8474102,2025020405,9,0.5,0.3935798755634816,,,,+154,2025-11-30
M. Backlund,8474150,2025020404,20,0.5,0.3807096029060309,,,,+163,2025-11-30
L. Eller,8474189,2025020405,9,0.5,0.3773165508695034,,,,+165,2025-11-30
K. Palmieri,8475151,2025020402,2,0.5,0.4309433825570533,,,,+132,2025-11-30
M. Duchene,8475168,2025020405,25,0.5,0.4132652350271084,,,,+142,2025-11-30
N. Kadri,8475172,2025020404,20,0.5,0.3771853596461344,,,,+165,2025-11-30
C. Kreider,8475184,2025020403,24,0.5,0.4432162422663717,,,,+126,2025-11-30
C. Cizikas,8475231,2025020402,2,0.5,0.4040795260338697,,,,+147,2025-11-30
A. Lee,8475314,2025020402,2,0.5,0.4187490049956315,,,,+139,2025-11-30
N. Dowd,8475343,2025020402,15,0.5,0.3838751416959516,,,,+161,2025-11-30
T. Hall,8475791,2025020404,12,0.5,0.3518847886416721,,,,+184,2025-11-30
T. Seguin,8475794,2025020405,25,0.5,0.4093715894900151,,,,+144,2025-11-30
M. Granlund,8475798,2025020403,24,0.5,0.4931589159516577,,,,+103,2025-11-30
C. Blackwell,8476278,2025020405,25,0.5,0.3844467111082022,,,,+160,2025-11-30
N. Cousins,8476393,2025020405,9,0.5,0.3735310961061174,,,,+168,2025-11-30
B. Coleman,8476399,2025020404,20,0.5,0.3724278439032145,,,,+169,2025-11-30
J. Pageau,8476419,2025020402,2,0.5,0.4553699811957065,,,,+120,2025-11-30
J. Huberdeau,8476456,2025020404,20,0.5,0.419776624619093,,,,+138,2025-11-30
R. Strome,8476458,2025020403,24,0.5,0.5443493290560274,,,,-119,2025-11-30
M. Jankowski,8476873,2025020404,12,0.5,0.3426383351596765,,,,+192,2025-11-30
T. Wilson,8476880,2025020402,15,0.5,0.4376986010816507,,,,+128,2025-11-30
T. Teravainen,8476882,2025020403,16,0.5,0.4588021452402584,,,,+118,2025-11-30
R. Faksa,8476889,2025020405,25,0.5,0.4287905590236139,,,,+133,2025-11-30
J. Martinook,8476921,2025020404,12,0.5,0.384407033070107,,,,+160,2025-11-30
K. MacDermid,8477073,2025020405,9,0.5,0.420222451416973,,,,+138,2025-11-30
A. Duclair,8477407,2025020402,2,0.5,0.4221974598028222,,,,+137,2025-11-30
A. Burakovsky,8477444,2025020403,16,0.5,0.3937659904936906,,,,+154,2025-11-30
J. Dickinson,8477450,2025020403,16,0.5,0.4324162073414751,,,,+131,2025-11-30
A. Erne,8477454,2025020405,25,0.5,0.4089163792164721,,,,+145,2025-11-30
W. Carrier,8477478,2025020404,12,0.5,0.337341888966749,,,,+196,2025-11-30
T. Bertuzzi,8477479,2025020403,16,0.5,0.4537864276649794,,,,+120,2025-11-30
J. Drouin,8477494,2025020402,2,0.5,0.4412230135000713,,,,+127,2025-11-30
B. Horvat,8477500,2025020402,2,0.5,0.4060504355750904,,,,+146,2025-11-30
R. Johnston,8477527,2025020403,24,0.5,0.4222949294983853,,,,+137,2025-11-30
N. Ehlers,8477940,2025020404,12,0.5,0.4591309196690869,,,,+118,2025-11-30
S. Milano,8477947,2025020402,15,0.5,0.4487692532411954,,,,+123,2025-11-30
R. Donato,8477987,2025020403,16,0.5,0.4206310673466984,,,,+138,2025-11-30
M. Amadio,8478020,2025020405,9,0.5,0.3725903004605356,,,,+168,2025-11-30
S. Lafferty,8478043,2025020403,16,0.5,0.4679578181684201,,,,+114,2025-11-30
H. Hodgson,8478173,2025020405,9,0.5,0.4267851786058478,,,,+134,2025-11-30
Dryden Hunt,8478211,2025020404,20,0.5,0.3588663915512335,,,,+179,2025-11-30
F. Vatrano,8478366,2025020403,24,0.5,0.45361459352613,,,,+120,2025-11-30
M. Rantanen,8478420,2025020405,25,0.5,0.4147835897741457,,,,+141,2025-11-30
J. Harkins,8478424,2025020403,24,0.5,0.3878977727040693,,,,+158,2025-11-30
S. Aho,8478427,2025020404,12,0.5,0.3563011351912349,,,,+181,2025-11-30
D. Strome,8478440,2025020402,15,0.5,0.3813552094325136,,,,+162,2025-11-30
M. Barzal,8478445,2025020402,2,0.5,0.4306965313060016,,,,+132,2025-11-30
R. Hintz,8478449,2025020405,25,0.5,0.385041970910102,,,,+160,2025-11-30
A. Beauvillier,8478463,2025020402,15,0.5,0.3812407237388761,,,,+162,2025-11-30
T. Terry,8478873,2025020403,24,0.5,0.4379979960263822,,,,+128,2025-11-30
R. Lomberg,8479066,2025020404,20,0.5,0.3648087278703986,,,,+174,2025-11-30
S. Steel,8479351,2025020405,25,0.5,0.3891732729066182,,,,+157,2025-11-30
P. Dubois,8479400,2025020402,15,0.5,0.4209435514925777,,,,+138,2025-11-30
N. Bastian,8479414,2025020405,25,0.5,0.4740269113786013,,,,+111,2025-11-30
B. Duhaime,8479520,2025020402,15,0.5,0.3735332573694537,,,,+168,2025-11-30
J. Robertson,8480027,2025020405,25,0.5,0.3917961754255586,,,,+155,2025-11-30
M. Frost,8480028,2025020404,20,0.5,0.3808628594295462,,,,+163,2025-11-30
R. Poehling,8480068,2025020403,24,0.5,0.4228060039364658,,,,+137,2025-11-30
F. Zetterlund,8480188,2025020405,9,0.5,0.3885840609730182,,,,+157,2025-11-30
D. Batherson,8480208,2025020405,9,0.5,0.3781887506876124,,,,+164,2025-11-30
